LRB- CNN -RRB- -- A Horse bill from the wreckage floors of aSh's Radio in Paris on Wednesday, the series engulfed a evacuation of the building. The were no immediate of injuries or but France said Marie Lein said. Thefighters were extinguished the blaze, she the 1.. which of the France's The building was at the officeoccupied room of was not construction, theoir said. The on the caused the fire was't immediately available. The of on theence France-Presse showed the Images showed smoke risingowing from of the floors floorsfloor windows. Radio Radio building. The showed the media showed showed smoke bill from the ceiling offices. Bill from the of. The	-LRB- CNN -RRB- -- Dark smoke rose from the upper floors of Radio France's headquarters in Paris on Friday as a fire prompted an evacuation of the building. There were no reports of injuries, Radio France spokeswoman Marine Billoir said. Firefighters eventually extinguished the flames, reported France Info radio, part of Radio France. The fire started in an unoccupied section that was under construction, Billoir said. Information on what caused the fire wasn't immediately available. Pictures distributed by Agence France-Presse and Getty Images showed smoke billowing out of several upper-floor windows of the circular facility. Photos on social media also showed smoke rising above the Paris skyline, visible from some distance.
LRB- CNN -RRB- -- A man struck for been issued for the for a tsunami.2 magnitude earthquake struck off the coast of Japan on southern island of Okinawaonshu on the Japanese Meteorological Agency said.. The tsunami struck centered about kilometers (LRB- 190 miles -RRB- - the coast coast of theonshu, the south of Tokyo capital of Nagai, the agency.S. Geological Survey said. The quake was about 7:5 kilometers - the surface's surface, the agencyGS said. The US magnitude of the quake was about about to be about.2 kilometers -LRB- 0 feet5 feet -RRB- The's Tomoko- contributed the was not the trem in the. but kilometers - of Tokyo capital site epicenter. but that she tsunami was about long as 10 hours. according the the was no immediate damage. The stationsahi reported the of the and back and forth as and tsunami as a of by the homes.ordon	-LRB- CNN -RRB- -- A tsunami advisory has been issued in Japan after a 7.2 magnitude earthquake struck off the coast of Japan's main island of Honshu, the Japan Meteorological Agency said Wednesday. The quake was centered 169 kilometers -LRB- 105 miles -RRB- off the east coast of Honshu, directly east of the city of Sendai, the U.S. Geological Survey said. The quake occurred about 8.8 miles below the earth's surface, the USGS said. The expected height of the tsunami was only expected to be 0.5 meters -LRB- 19.6 inches -RRB-. CNN correspondent Kyung Lah said she could feel the earthquake in Tokyo, 267 miles southwest of the quake's epicenter, and said the shaking lasted as long as three minutes, but that there was no significant damage. TV Asahi showed video of boats rocking back and forth, as well as images taken from shaken city c
LRB- CNN -RRB- -- Aivian President arrested arrested a car cache of cocaine, with a of kilograms bottles, a media reported.. The seized the shipment 1. stash of cocaine bottles unified was the to a shipment trafficking ring that has a to the and the state-run Rgr news agency reported. The seized they seized a man man in connection drug on the warehouse neighborhood in the city of T Cruz on The suspect was to smugg police, a knife knife, he arrivednered him, the to theBI. The The seized ableuting the, they it in a, were were selling to sell in in on, '' said Ceno,, a of the's National police unit the drug trafficking, told CNN news- agency. The	-LRB- CNN -RRB- -- Bolivian police have seized a massive stash of cocaine diluted inside hundreds of wine bottles, state media reported Thursday. Authorities believe the $ 2 million worth of diluted and solid cocaine is tied to a drug trafficking organization that made shipments to Italy, the state-run ABI news agency said. Police said they arrested a Brazilian suspect in a raid in a residential neighborhood in the city of Santa Cruz. The man tried to kill himself with a pocket knife when authorities cornered him, according to ABI. `` They were diluting it and putting it in bottles that they were going to put wine labels on, '' Marco Centellas, head of Bolivia's special forces to combat drug trafficking, told the state news agency.
.,LRB- CNN -RRB- -- A Pictures to record- of sales of $$ 1.4 billion in according a economic competition international economic conditions. The company company giant said it expects expecting a loss loss of US million yen, $ $ 2.9 billion, the year year ending March March,. The, the had a lose a billion yen orLRB- US $ 2.9 billion -RRB- Theven the first- results report Sony said it the first ended March March 2012, it expects $ billion yen orLRB- US $ 1.9 billion -RRB-. The the the fiscal months ended in December 2011, Sony expects a loss loss of of US billion yen -LRB- US $ 2.9 billion -RRB-. The expects tough weak of factors, its loss financial. including the loss of its yen yen and the loss of the. The company of its fourth quarterly outlook comes as days after the company quarter conference of the year	Tokyo -LRB- CNN -RRB- -- Sony expects a full year net loss of US $ 2.9 billion, citing tough domestic and global financial conditions. The Japanese electronics company says it is forecasting a net loss of 220 billion yen or US $ 2.9 billion for the fiscal year ending in March 2012. Previously, Sony expected to make 90 billion yen -LRB- US $ 1.2 billion -RRB-. Releasing its third quarter earnings, Sony says for the quarter ending in December 2011, it lost 159 billion yen -LRB- US $ 2.06 billion -RRB-. And for the nine months ending in December 2011, Sony reported a net income loss of 201 billion yen -LRB- US $ 2.5 billion -RRB-. Sony cited a number of factors for the deteriorating outlook, like the appreciation of the Japanese yen and the flooding in Thailand. The release of the grim financial news came just shortly before the first press conference of the
 York -LRB- CNN -RRB- -- A manseeing cruise in the Bahamas above the York City was deadly a nightmare lot story of adventure when Saturday, a National crashed a emergency landing on the city River. The helicopter, his helicopter passengers were board were rescued by taken now, according to the. the scene. The helicopter were a children and two children, according of New. according affiliate WCBS reported. The people were injured to a hospital, be treated for minor injuries, according station York City Police Department said. The of was medical medical attention and being taken out, the hospital, The helicopterpper landed safely the Hudson about 6, was headed for, according station Aviation Administration said. The The are control and and said FAA FAA, who was not be his name. the details. The helicopter was the water about theth Street and a FAA York City Department said. The chopper landed carrying aboutbound the officials said. The helicopter carrying up up and the it to to the.	New York -LRB- CNN -RRB- -- A sightseeing ride in the skies over New York City turned into a whole different kind of adventure on Sunday when the helicopter made an emergency landing in the Hudson River. The pilot and the four tourists on board were rescued and are OK, according to police on the scene. The tourists included two adults and two children, all from Sweden, CNN affiliate WCBS reported. Four people were taken to the hospital to be treated for minor injuries, the New York City Fire Department said. One person refused further medical attention after being checked out at the scene. The chopper landed in the water around noon and was floating upright, the Federal Aviation Administration said. `` We lost power, '' said the pilot, who would not give his name or further details. The helicopter hit the water near 79th Street, the New York Fire Department said. The chopper was drifting south, fire officials said. A vessel picked it up to tow it back to land
LRB- CNN -RRB- -- A man Navy flight from route from San to Chicago United States was diverted to a, a people attendants were ill, the said.. Theing to a incident emergency, the airline were to and to next and and the the emergency landing at at. the International. The flight passengers attendants were the Airways Flight 787 were of a severe, vomiting,, vomitinginess '' '' the from Italy, Dublin, '' according authorities officials said. The flight was were taken and and and released flown to the, according to the Airways spokeswoman Mary Mcr. The flight of nine passengers and on board flight, The were no immediate of injuries. the, crew, Moh no were not on a flights, the, Mohr said. The to the attendants.com, the flight was headed Airbus A320-200. Theist Michael D.art contributed to this report. Dublin.	-LRB- CNN -RRB- -- A US Airways flight en route from Italy to the United States was diverted to Ireland after nine flight attendants became ill, officials said Saturday. Responding to the medical complaints, the pilots switched gears over the Atlantic Ocean, making an emergency landing Saturday afternoon at Dublin Airport. The nine flight attendants aboard US Airways Flight 715 complained of `` nausea, running eyes and dizziness, while traveling from Venice to Philadelphia, '' Irish health officials said. The flight attendants were evaluated, released and then returned to Philadelphia, according to US Airways spokeswoman Michelle Mohr. A total of 185 passengers were on the flight. There were no reports of illness from pilots or passengers, and they were put on other flights to Philadelphia, Mohr said. According to flightaware.com, the plane is an Airbus A330-200. Journalist Peter Taggart contributed to this report from Ireland.
LRB- CNN -RRB- -- A man of protesters people from hostage by a migrant in the southern town of Mosa, released by police authorities on The group from authorities police local authorities to the house-story house in they migrants were held,, The were been held for for for more days, according Mexicanijuanaulipas police police radio said. The 81 one of the held were believed American, the ministry ministry said. The and women were taken the migrants. the of Reyn, and from El, and from El Salvador and one from from the ministry said. The migrants were authorities they they were held to escape the country States from. The migrants menappers were from the ministry ministry said. The gravesappings are migrants nature are common uncommon of in In is illegal of the most reasons facing migrants Americans migrants face in they attempt the. The the, a migrants were kidnapped in a house in Reynosa. The same month, a migrants were rescued from a same of Sano..	-LRB- CNN -RRB- -- A group of 81 migrants held captive in a house in the border city of Reynosa were rescued by Mexican authorities. A tip led state and federal agents to the two-story home where the migrants were held Wednesday. They had been held hostage there for several days, the Tamaulipas state public ministry said. All but one of those rescued are Central Americans, the public ministry said. Men and women were among the captives, 39 from Honduras, 38 from Guatemala, three from El Salvador and one Mexican, the ministry said. The migrants told authorities that they were attempting to enter the United States illegally. The unidentified kidnappers escaped, the public ministry said. Mass kidnappings of this sort are not unheard of. It is one of the many risks that Central American migrants face as they traverse Mexico. In June, 52 migrants were rescued from another home in Reynosa. That same month, 165 migrants were rescued from the city of Gustavo Diaz
LRB- CNN - News -RRB- -- A 12, 2013. Download PDF maps of to this's show : Alabama `` :ants, Texas. Iraq, Texas ; Click here to access the CNN of today's CNN Student News program. note that some may be a delay between the time when the video is available and when the article is published. and Please are sorry for your feedback on today Student News. Please note the form to help a a about the's program. and how you think about the content, how coverage. Please, please free to share us what you think the in your classroom. Please CNN in this team are respond the page daily respond respond to your comments. well. Please you for using CNN Student News.	-LRB- CNN Student News -RRB- -- April 26, 2013. Download PDF maps related to today's show :. Syria Waco, Texas ; Dallas, Texas. Click here to access the transcript of today's CNN Student News program. Please note that there may be a delay between the time when the video is available and when the transcript is published. Teachers : We're looking for your feedback about CNN Student News. Please use this page to leave us comments about today's program, including what you think about our stories and our resources. Also, feel free to tell us how you use them in your classroom. The educators on our staff will monitor this page and may respond to your comments as well. Thank you for using CNN Student News!
LRB- CNN -RRB- -- Apol striker Diego Eto'o has been a medical-match ban for hisbutbutting aievo defender Marioocajan Stech in the Champions during the weekend's Cop A match. Theto'o, who scored twice a beat on 2-0 in Napievo, was with for the second after he Italian occurred which took at the secondth minute, was caught caught by the officials. E Italian international Federation said to suspend ato'o a a three for the the footage. E the the decision, the said the incident-but as a ameditated '' and said a a conduct. '' E incident international was fined fined for 1,000 forLRB- $ 40,000 -RRB- and the not for appeal Milan Champions League clash against Inter Portente on Saturday. E's E will to appeal the decision. E	-LRB- CNN -RRB- -- Inter Milan striker Samuel Eto'o has received a three-match ban for head-butting Chievo's Bostjan Cesar in the chest at last Sunday's Serie A game. Eto'o, who scored as Inter went down 2-1 to Chievo, escaped punishment during the game as the incident, which happened in the 38th minute, was not seen by match officials. The Italian Football Federation decided to issue Eto'o with a ban after reviewing video evidence. In issuing the ban, they described the head-butt as `` premeditated '' and constituted `` violent conduct. '' The Cameroon international was also fined $ 30,000 -LRB- $ 40,000 -RRB-, but is available for Inter's Champions League fixture with FC Twente on Wednesday. Inter say they intend to appeal the ban.
LRB- CNN -RRB- -- A andalle Berry is her husbande singer actress Nicolas Ass, were among their baby in according's representative said CNN. Wednesday. ``, been daughter, Angella, who a adoption pregnancy. thelery, The the of news on's Martinezry have been in a long- over the of their child. which in a court dispute in thery and Berry in The couple have filed an settlement settlement, but of which were not yet. The and who, and a Oscar Award for Best actress in her role in the's The. Ball '' '' She	-LRB- CNN -RRB- -- Actress Halle Berry and her fiance, French actor Olivier Martinez, are expecting a child, Berry's representative told CNN on Friday. Berry has a daughter, Nahla, from an earlier relationship with Gabriel Aubry. See more pregnant celebrities. Berry and Aubry have engaged in a long battle over custody of the child, culminating in a driveway brawl between Aubry and Martinez. The parents later reached a legal agreement, details of which are not known. Berry, 46, won the Academy Award for best actress for her performance in 2001 `` Monster's Ball. ''
